;IE_2_1.1;IE_2_1.2;IE_2_1.3;IE_2_1.4;IE_2_1.5;IE_2_1.6;IE_2_1.7;IE_2_1.8;IE_2_1.9;IE_2_1.10;IE_2_1.11;IE_2_1.12;
N�MERO SECUENCIAL;1961502;3814717;586291;3779313;400130;304740;2662554;304741;1491933;304739;304742;304743;
DESCRIPCI�N DE LA SERIE;OCDE TOTAL. PIB precios constantes. Tasa de variaci�n interanual;UE27 (no incluye Reino Unido). PIB precios constantes. Tasa de variaci�n interanual;UEM. PIB precios constantes. Tasa de variaci�n interanual;Descripci�n Familia:Contabilidad nacional de Espa�a. Metodolog�a:METODOLOG�A DEL A�O SEC2010. A�o Base:A�o base 2016. Valoraci�n:�ndices de volumen encadenados. Operaciones y otros Flujos:Producto interior bruto. Sector de Sa;ALEMANIA. PIB precios constantes. Tasa de variaci�n interanual;FRANCIA. PIB precios constantes. Tasa de variaci�n interanual;HOLANDA. PIB precios constantes. Tasa de variaci�n interanual;ITALIA.PIB precios constantes. Tasa de variaci�n interanual;CHINA. ACTIVIDAD: PIB (CNTR). Tasa de variaci�n interanual;ESTADOS UNIDOS. PIB precios constantes. Tasa de variaci�n interanual;JAP�N. PIB precios constantes. Tasa de variaci�n interanual;REINO UNIDO. PIB precios constantes. Tasa de variaci�n interanual;
DESCRIPCI�N DE LAS UNIDADES;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;
;;;;;;;;;;;;;
DIC 1974;-,6000;-;-;-;-;1,56000;-;-;-;-1,95000;-;-2,12000;
MAR 1975;-,68000;-;-;-;-;-,77000;-;-;-;-2,3000;-;,67000;
JUN 1975;-,65000;-;-;-;-;-1,73000;-;-;-;-1,83000;-;-2,39000;
SEP 1975;,42000;-;-;-;-;-2,61000;-;-;-;,8000;-;-3,34000;
DIC 1975;2,41000;-;-;-;-;1,16000;-;-;-;2,55000;-;-,81000;
MAR 1976;4,65000;-;-;-;-;2,82000;-;-;-;6,15000;-;,73000;
JUN 1976;5,16000;-;-;-;-;4,53000;-;-;-;6,17000;-;2,23000;
SEP 1976;4,94000;-;-;-;-;5,64000;-;-;-;4,96000;-;3,85000;
DIC 1976;4,51000;-;-;-;-;4,2000;-;-;-;4,31000;-;4,85000;
MAR 1977;3,77000;-;-;-;-;4,38000;-;-;-;3,23000;-;3,25000;
JUN 1977;3,61000;-;-;-;-;3,29000;-;-;-;4,47000;-;2,68000;
SEP 1977;3,61000;-;-;-;-;3,09000;-;-;-;5,77000;-;2,12000;
DIC 1977;3,45000;-;-;-;-;3,23000;-;-;-;5,01000;-;1,75000;
MAR 1978;3,35000;-;-;-;-;3,4000;-;-;-;4,12000;-;2,57000;
JUN 1978;4,53000;-;-;-;-;4,17000;-;-;-;6,08000;-;4,57000;
SEP 1978;4,54000;-;-;-;-;4,06000;-;-;-;5,25000;-;5,26000;
DIC 1978;5,05000;-;-;-;-;4,34000;-;-;-;6,66000;-;4,41000;
MAR 1979;4,76000;-;-;-;-;3,88000;-;-;-;6,51000;-;3,11000;
JUN 1979;3,99000;-;-;-;-;3,33000;-;-;-;2,66000;-;6,39000;
SEP 1979;3,62000;-;-;-;-;3,86000;-;-;-;2,39000;-;2,68000;
DIC 1979;3,03000;-;-;-;-;3,02000;-;-;-;1,28000;-;2,82000;
MAR 1980;3,07000;-;-;-;-;2,53000;-;-;-;1,42000;-;2,22000;
JUN 1980;,73000;-;-;-;-;1,39000;-;-;-;-,78000;-;-4,06000;
SEP 1980;,48000;-;-;-;-;,07000;-;-;-;-1,62000;-;-2,04000;
DIC 1980;,98000;-;-;-;-;-,25000;-;-;-;-,04000;-;-4,08000;
MAR 1981;1,43000;-;-;-;-;-,29000;-;-;-;1,6000;-;-3,29000;
JUN 1981;2,7000;-;-;-;-;,78000;-;-;-;2,97000;-;-1,1000;
SEP 1981;3,05000;-;-;-;-;1,58000;-;-;-;4,33000;-;,1000;
DIC 1981;1,73000;-;-;-;-;2,2000;-;-;-;1,3000;-;1,29000;
MAR 1982;,39000;-;-;-;-;2,66000;-;-;-;-2,19000;-;1,61000;
JUN 1982;,44000;-;-;-;-;2,86000;-;-;-;-1,01000;-;2,5000;
SEP 1982;-,35000;-;-;-;-;2,1000;-;-;-;-2,56000;-;1,67000;
DIC 1982;-,1000;-;-;-;-;2,16000;-;-;-;-1,44000;-;2,27000;
MAR 1983;,96000;-;-;-;-;1,76000;-;-;-;1,43000;-;3,95000;
JUN 1983;1,83000;-;-;-;-;1,07000;-;-;-;3,27000;-;3,68000;
SEP 1983;3,33000;-;-;-;-;1,17000;-;-;-;5,74000;-;4,54000;
DIC 1983;4,65000;-;-;-;-;1,04000;-;-;-;7,9000;-;4,71000;
MAR 1984;5,34000;-;-;-;-;1,31000;-;-;-;8,58000;-;3,55000;
JUN 1984;4,87000;-;-;-;-;1,59000;-;-;-;8,000;-;1,78000;
SEP 1984;4,79000;-;-;-;-;2,01000;-;-;-;6,9000;-;1,33000;
DIC 1984;3,97000;-;-;-;-;1,78000;-;-;-;5,58000;-;2,46000;
MAR 1985;3,49000;-;-;-;-;1,29000;-;-;-;4,56000;-;2,61000;
JUN 1985;3,91000;-;-;-;-;1,67000;-;-;-;3,68000;-;5,72000;
SEP 1985;3,85000;-;-;-;-;1,75000;-;-;-;4,26000;-;5,14000;
DIC 1985;4,000;-;-;-;-;1,91000;-;-;-;4,18000;-;3,34000;
MAR 1986;3,46000;-;-;-;-;2,1000;-;-;-;4,15000;-;3,64000;
JUN 1986;2,99000;-;-;-;-;2,51000;-;-;-;3,7000;-;2,22000;
SEP 1986;2,45000;-;-;-;-;2,27000;-;-;-;3,12000;-;2,57000;
DIC 1986;2,24000;-;-;-;-;2,11000;-;-;-;2,91000;-;4,13000;
MAR 1987;2,1000;-;-;-;-;2,01000;-;-;-;2,72000;-;3,88000;
JUN 1987;3,1000;-;-;-;-;2,08000;-;-;-;3,36000;-;4,61000;
SEP 1987;3,59000;-;-;-;-;2,44000;-;-;-;3,27000;-;6,67000;
DIC 1987;4,84000;-;-;-;-;3,76000;-;-;-;4,48000;-;6,01000;
MAR 1988;5,3000;-;-;-;-;4,82000;-;-;-;4,24000;-;6,97000;
JUN 1988;4,47000;-;-;-;-;4,32000;-;-;-;4,48000;-;6,08000;
SEP 1988;4,38000;-;-;-;-;4,9000;-;-;-;4,19000;-;5,16000;
DIC 1988;3,68000;-;-;-;-;4,34000;-;-;-;3,8000;-;4,88000;
MAR 1989;4,23000;-;-;-;-;4,4000;-;-;-;4,32000;-;3,47000;
JUN 1989;3,83000;-;-;-;-;4,53000;-;-;-;3,75000;-;3,52000;
SEP 1989;3,77000;-;-;-;-;4,39000;-;-;-;3,91000;-;2,06000;
DIC 1989;3,52000;-;-;-;-;4,6000;-;-;-;2,74000;-;1,28000;
MAR 1990;3,34000;-;-;-;-;8,7000;-;-;-;2,82000;-;10,46000;
JUN 1990;3,88000;-;-;-;-;8,49000;-;-;-;2,41000;-;10,31000;
SEP 1990;3,24000;-;-;-;-;7,62000;-;-;-;1,73000;-;9,06000;
DIC 1990;2,51000;-;-;-;-;6,64000;-;-;-;,6000;-;8,58000;
MAR 1991;1,65000;-;-;-;-;1,05000;-;-;-;-,95000;-;-1,17000;
JUN 1991;1,33000;-;-;-;-;1,04000;-;-;-;-,54000;-;-1,8000;
SEP 1991;1,25000;-;-;-;-;,86000;-;-;-;-,1000;-;-,98000;
DIC 1991;1,64000;-;-;-;-;1,03000;-;-;-;1,17000;-;-,46000;
MAR 1992;2,42000;-;-;-;2,07000;2,19000;-;-;-;2,86000;-;-,16000;
JUN 1992;2,12000;-;-;-;1,84000;1,64000;-;-;-;3,17000;-;-,16000;
SEP 1992;2,34000;-;-;-;1,86000;1,38000;-;-;-;3,67000;-;,7000;
DIC 1992;1,98000;-;-;-;,27000;,76000;-;-;-;4,38000;-;1,23000;
MAR 1993;1,31000;-;-;-;-1,96000;-,85000;-;-;-;3,32000;-;1,95000;
JUN 1993;1,43000;-;-;-;-1,25000;-,83000;-;-;-;2,81000;-;2,58000;
SEP 1993;1,32000;-;-;-;-,48000;-,58000;-;-;-;2,29000;-;2,73000;
DIC 1993;1,92000;-;-;-;-,27000;-,24000;-;-;-;2,61000;-;2,7000;
MAR 1994;2,66000;-;-;-;1,87000;1,16000;-;-;-;3,43000;-;3,16000;
JUN 1994;2,82000;-;-;-;2,15000;2,21000;-;-;-;4,23000;-;3,85000;
SEP 1994;3,32000;-;-;-;2,27000;2,64000;-;-;-;4,34000;-;4,21000;
DIC 1994;3,43000;-;-;-;3,56000;3,34000;-;-;-;4,12000;-;4,15000;
MAR 1995;2,85000;-;-;-;1,79000;3,12000;-;-;-;3,48000;1,38000;3,38000;
JUN 1995;2,64000;-;-;-;2,29000;2,43000;-;-;-;2,4000;2,94000;2,57000;
SEP 1995;2,61000;-;-;-;1,76000;2,000;-;-;-;2,67000;2,97000;2,34000;
DIC 1995;2,2000;-;-;-;,63000;1,28000;-;-;-;2,2000;3,65000;1,86000;
MAR 1996;2,54000;-;1,24000;2,4000;,14000;1,31000;-;1,71000;-;2,6000;3,3000;2,36000;
JUN 1996;3,35000;-;1,47000;2,52000;,74000;1,2000;-;1,38000;-;4,000;3,51000;2,35000;
SEP 1996;3,2000;-;1,77000;2,98000;,91000;1,6000;-;1,71000;-;4,05000;2,36000;2,3000;
DIC 1996;3,59000;-;1,89000;2,75000;1,59000;1,55000;-;,53000;-;4,42000;3,29000;2,96000;
MAR 1997;3,46000;-;1,99000;3,18000;1,89000;1,35000;4,39000;,16000;-;4,31000;2,76000;3,43000;
JUN 1997;3,61000;-;2,51000;3,35000;1,88000;2,18000;4,31000;1,49000;-;4,31000;,82000;3,95000;
SEP 1997;3,8000;-;2,75000;3,69000;1,84000;2,35000;4,36000;2,04000;-;4,67000;1,01000;3,8000;
DIC 1997;3,79000;-;3,42000;4,57000;1,83000;3,37000;4,96000;4,09000;-;4,49000;-,12000;4,23000;
MAR 1998;3,57000;-;3,86000;4,42000;3,34000;3,91000;5,22000;3,11000;-;4,86000;-1,53000;3,7000;
JUN 1998;2,75000;-;3,01000;4,65000;1,57000;3,66000;4,89000;2,26000;-;4,1000;-1,28000;3,72000;
SEP 1998;2,66000;-;2,84000;4,4000;1,74000;3,63000;4,27000;1,7000;-;4,1000;-1,33000;3,67000;
DIC 1998;2,58000;-;1,89000;4,11000;,57000;3,29000;3,89000;-,41000;-;4,88000;-,59000;3,49000;
MAR 1999;2,84000;-;2,21000;4,24000;,8000;2,94000;4,21000;,81000;-;4,82000;-,74000;3,24000;
JUN 1999;3,1000;-;2,34000;4,3000;1,2000;2,87000;4,62000;,7000;-;4,66000;,02000;2,55000;
SEP 1999;3,5000;-;2,9000;4,69000;1,86000;3,36000;5,17000;1,41000;-;4,72000;,4000;3,73000;
DIC 1999;4,000;-;3,92000;4,73000;3,13000;3,97000;5,68000;3,37000;-;4,81000;-,31000;4,17000;
MAR 2000;4,33000;-;4,19000;5,35000;3,4000;4,41000;4,59000;3,92000;9,000;4,2000;2,79000;4,31000;
JUN 2000;4,87000;-;4,49000;5,42000;4,25000;4,52000;4,6000;4,21000;8,3000;5,3000;2,73000;4,68000;
SEP 2000;4,13000;-;3,9000;5,16000;3,04000;3,95000;4,03000;4,07000;8,2000;4,08000;2,23000;3,07000;
DIC 2000;3,33000;-;3,38000;5,05000;1,91000;3,39000;3,92000;4,03000;7,3000;2,97000;3,17000;1,76000;
MAR 2001;2,63000;-;3,14000;4,5000;2,5000;2,98000;3,39000;3,38000;8,5000;2,31000;1,88000;2,44000;
JUN 2001;1,52000;-;2,35000;3,97000;1,62000;2,15000;2,76000;2,4000;7,8000;1,06000;1,1000;2,72000;
SEP 2001;,97000;-;1,9000;3,82000;1,45000;1,86000;2,1000;1,46000;7,000;,5000;-,01000;3,26000;
DIC 2001;,57000;-;1,37000;3,47000;1,67000;1,08000;1,11000;-,08000;6,6000;,15000;-1,27000;3,48000;
MAR 2002;,89000;-;,41000;2,82000;-,85000;,8000;,39000;-,65000;8,7000;1,32000;-1,63000;2,47000;
JUN 2002;1,47000;-;,88000;2,89000;-,39000;1,22000;,23000;,1000;8,000;1,34000;-,42000;2,13000;
SEP 2002;2,07000;-;1,16000;2,57000;,32000;1,2000;,21000;,55000;8,1000;2,21000;,93000;2,1000;
DIC 2002;2,22000;-;1,2000;2,64000;,25000;1,22000;,04000;1,01000;8,1000;2,09000;1,5000;2,6000;
MAR 2003;1,83000;-;,79000;3,16000;-,72000;1,06000;,67000;,66000;10,7000;1,77000;1,4000;2,82000;
JUN 2003;1,58000;-;,32000;2,86000;-1,04000;,31000;-,02000;,09000;7,9000;2,03000;1,29000;3,26000;
SEP 2003;2,12000;-;,47000;2,9000;-,78000;,64000;-,09000;-,19000;9,6000;3,3000;1,36000;3,53000;
DIC 2003;2,89000;-;1,05000;3,01000;-,34000;1,37000;,29000;,34000;9,9000;4,33000;2,22000;3,52000;
MAR 2004;3,45000;-;1,93000;2,67000;,99000;2,13000;1,18000;1,08000;10,6000;4,3000;2,86000;3,4000;
JUN 2004;3,63000;-;2,43000;3,14000;1,39000;3,02000;2,02000;1,47000;9,6000;4,2000;2,23000;2,8000;
SEP 2004;3,13000;-;2,12000;3,43000;,41000;2,68000;2,08000;1,54000;9,1000;3,43000;2,47000;1,92000;
DIC 2004;2,71000;-;1,73000;3,24000;,05000;2,64000;1,76000;,8000;9,5000;3,28000;1,14000;1,4000;
